nuclide,atoms
Ag106_m1,2.406380e+08
Ni73,2.322205e+08
Pa230,2.227934e+08
Bk251,2.176527e+08
Sm144,2.064516e+08
Nd160,2.040146e+08
Pu247,1.567712e+08
Mo92,1.537687e+08
Sb139,1.536277e+08
Dy171,1.502088e+08
Cu63,1.455440e+08
Zr107,1.429442e+08
Tb169,1.393109e+08
Br77,1.349686e+08
Tb156_m1,1.348120e+08
Cu78,1.262286e+08
Kr81_m1,1.233076e+08
Sm164,1.227752e+08
Gd150,1.138254e+08
Kr79,1.137219e+08
I123,1.099675e+08
Tc115,1.087984e+08
Ag125,1.050724e+08
Bi212,1.009506e+08
Ce156,9.301953e+07
Ce137,9.283942e+07
I144,8.623119e+07
Nb111,8.605349e+07
Ni74,8.540293e+07
Dy172,8.385042e+07
Nb110,8.371773e+07
Lu176_m1,8.303998e+07
Ne21,8.203096e+07
Rh120,7.757932e+07
Te142,7.715127e+07
Cd129,7.652448e+07
N17,6.814566e+07
Xe127_m1,6.738557e+07
Cd132,6.633639e+07
