r_cm,depth_cm,pb_n2n,nXt
2.88071482e+01,2.85571482e+01,5.30565742e-04,1.32532770e-03
2.89071733e+01,2.86571733e+01,5.28204079e-04,1.32922603e-03
2.90071983e+01,2.87571983e+01,5.21752774e-04,1.33149506e-03
2.91072233e+01,2.88572233e+01,5.19536034e-04,1.33411320e-03
2.92072484e+01,2.89572484e+01,5.08947395e-04,1.33649657e-03
2.93072734e+01,2.90572734e+01,5.04708369e-04,1.33600901e-03
2.94072984e+01,2.91572984e+01,5.09143281e-04,1.33929106e-03
2.95073235e+01,2.92573235e+01,4.98729199e-04,1.34617168e-03
2.96073485e+01,2.93573485e+01,4.94181042e-04,1.34619004e-03
2.97073736e+01,2.94573736e+01,4.89079673e-04,1.34641882e-03
2.98073986e+01,2.95573986e+01,4.80215345e-04,1.34806784e-03
2.99074236e+01,2.96574236e+01,4.80634650e-04,1.35514228e-03
3.00074487e+01,2.97574487e+01,4.70182503e-04,1.35698540e-03
3.01074737e+01,2.98574737e+01,4.63814846e-04,1.35457808e-03
3.02074987e+01,2.99574987e+01,4.56902388e-04,1.35925170e-03
3.03075238e+01,3.00575238e+01,4.49212670e-04,1.35859381e-03
3.04075488e+01,3.01575488e+01,4.46000415e-04,1.35737876e-03
3.05075739e+01,3.02575739e+01,4.43681408e-04,1.36176008e-03
3.06075989e+01,3.03575989e+01,4.45054622e-04,1.36219525e-03
3.07076239e+01,3.04576239e+01,4.37884010e-04,1.36125089e-03
3.08076490e+01,3.05576490e+01,4.33058410e-04,1.36488581e-03
3.09076740e+01,3.06576740e+01,4.33131593e-04,1.36934474e-03
3.10076990e+01,3.07576990e+01,4.21861915e-04,1.36944356e-03
3.11077241e+01,3.08577241e+01,4.19856600e-04,1.36869160e-03
3.12077491e+01,3.09577491e+01,4.15835273e-04,1.36852022e-03
3.13077742e+01,3.10577742e+01,4.12112912e-04,1.36990058e-03
3.14077992e+01,3.11577992e+01,4.08495333e-04,1.37482079e-03
3.15078242e+01,3.12578242e+01,4.10554339e-04,1.37734700e-03
3.16078493e+01,3.13578493e+01,4.00652444e-04,1.37996982e-03
3.17078743e+01,3.14578743e+01,4.00097347e-04,1.37989774e-03
3.18078993e+01,3.15578993e+01,3.98811601e-04,1.37925297e-03
3.19079244e+01,3.16579244e+01,3.96235223e-04,1.38160297e-03
3.20079494e+01,3.17579494e+01,3.86996836e-04,1.38054988e-03
3.21079745e+01,3.18579745e+01,3.82454194e-04,1.38073815e-03
3.22079995e+01,3.19579995e+01,3.80671806e-04,1.38336517e-03
3.23080245e+01,3.20580245e+01,3.79375487e-04,1.38717321e-03
3.24080496e+01,3.21580496e+01,3.72360536e-04,1.39176511e-03
3.25080746e+01,3.22580746e+01,3.65056281e-04,1.38969112e-03
3.26080996e+01,3.23580996e+01,3.67343613e-04,1.39173857e-03
3.27081247e+01,3.24581247e+01,3.60572208e-04,1.39149599e-03
3.28081497e+01,3.25581497e+01,3.60894639e-04,1.39349771e-03
3.29081748e+01,3.26581748e+01,3.59056705e-04,1.39794446e-03
3.30081998e+01,3.27581998e+01,3.54577438e-04,1.39937007e-03
3.31082248e+01,3.28582248e+01,3.49686154e-04,1.39960370e-03
3.32082499e+01,3.29582499e+01,3.47344197e-04,1.40385988e-03
3.33082749e+01,3.30582749e+01,3.46122700e-04,1.40555228e-03
3.34082999e+01,3.31582999e+01,3.39850630e-04,1.40628314e-03
3.35083250e+01,3.32583250e+01,3.35519642e-04,1.40594910e-03
3.36083500e+01,3.33583500e+01,3.30190521e-04,1.40625469e-03
3.37083751e+01,3.34583751e+01,3.28985253e-04,1.40866393e-03
3.38084001e+01,3.35584001e+01,3.28680509e-04,1.41314102e-03
3.39084251e+01,3.36584251e+01,3.31552516e-04,1.41650166e-03
3.40084502e+01,3.37584502e+01,3.22878493e-04,1.41384083e-03
3.41084752e+01,3.38584752e+01,3.19005261e-04,1.41872731e-03
3.42085003e+01,3.39585003e+01,3.13018118e-04,1.41813979e-03
3.43085253e+01,3.40585253e+01,3.08601515e-04,1.41912009e-03
3.44085503e+01,3.41585503e+01,3.11228307e-04,1.42445865e-03
3.45085754e+01,3.42585754e+01,3.04368925e-04,1.42724170e-03
3.46086004e+01,3.43586004e+01,2.98613709e-04,1.43007199e-03
3.47086254e+01,3.44586254e+01,2.94929056e-04,1.43046316e-03
3.48086505e+01,3.45586505e+01,2.92570418e-04,1.43127716e-03
3.49086755e+01,3.46586755e+01,2.93390679e-04,1.42961077e-03
3.50087006e+01,3.47587006e+01,2.86733774e-04,1.43085967e-03
3.51087256e+01,3.48587256e+01,2.83369981e-04,1.43200528e-03
3.52087506e+01,3.49587506e+01,2.81940959e-04,1.43462416e-03
3.53087757e+01,3.50587757e+01,2.78773385e-04,1.43737225e-03
3.54088007e+01,3.51588007e+01,2.77391001e-04,1.43923012e-03
3.55088257e+01,3.52588257e+01,2.73510433e-04,1.43872949e-03
3.56088508e+01,3.53588508e+01,2.72502735e-04,1.44352745e-03
3.57088758e+01,3.54588758e+01,2.71097484e-04,1.44081556e-03
3.58089009e+01,3.55589009e+01,2.69934647e-04,1.44208397e-03
3.59089259e+01,3.56589259e+01,2.69560037e-04,1.44327719e-03
3.60089509e+01,3.57589509e+01,2.69276940e-04,1.44275160e-03
3.61089760e+01,3.58589760e+01,2.66893759e-04,1.44298088e-03
3.62090010e+01,3.59590010e+01,2.65476126e-04,1.44660349e-03
3.63090260e+01,3.60590260e+01,2.62512879e-04,1.44939378e-03
3.64090511e+01,3.61590511e+01,2.57803767e-04,1.45010853e-03
3.65090761e+01,3.62590761e+01,2.57767739e-04,1.44874555e-03
3.66091012e+01,3.63591012e+01,2.57476218e-04,1.45235447e-03
3.67091262e+01,3.64591262e+01,2.50224708e-04,1.44992039e-03
3.68091512e+01,3.65591512e+01,2.46565336e-04,1.45352700e-03
3.69091763e+01,3.66591763e+01,2.47932982e-04,1.45316769e-03
3.70092013e+01,3.67592013e+01,2.47833480e-04,1.45420335e-03
3.71092263e+01,3.68592263e+01,2.40079522e-04,1.45335308e-03
3.72092514e+01,3.69592514e+01,2.41796659e-04,1.45537382e-03
3.73092764e+01,3.70592764e+01,2.38520579e-04,1.46105832e-03
3.74093015e+01,3.71593015e+01,2.36520362e-04,1.46355927e-03
3.75093265e+01,3.72593265e+01,2.32321737e-04,1.46561427e-03
3.76093515e+01,3.73593515e+01,2.29395606e-04,1.46287570e-03
3.77093766e+01,3.74593766e+01,2.28227422e-04,1.46284054e-03
3.78094016e+01,3.75594016e+01,2.25813153e-04,1.46371578e-03
3.79094266e+01,3.76594266e+01,2.28558011e-04,1.45925467e-03
3.80094517e+01,3.77594517e+01,2.22982455e-04,1.46159733e-03
3.81094767e+01,3.78594767e+01,2.21154945e-04,1.46217971e-03
3.82095018e+01,3.79595018e+01,2.20544966e-04,1.46602672e-03
3.83095268e+01,3.80595268e+01,2.18541981e-04,1.46714795e-03
3.84095518e+01,3.81595518e+01,2.16994408e-04,1.46715098e-03
3.85095769e+01,3.82595769e+01,2.14633304e-04,1.46450722e-03
3.86096019e+01,3.83596019e+01,2.12445582e-04,1.46708574e-03
3.87096269e+01,3.84596269e+01,2.08618130e-04,1.46966590e-03
