r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
1.89247308e+02,1.88997308e+02,3.90550696e-05,1.41201741e-06,0.00000000e+00,0.00000000e+00,4.09790702e-06,4.95353180e-07,0.00000000e+00,0.00000000e+00,2.86914784e-02,7.43568590e-04,2.15038211e+02,8.16012810e+00,0.00000000e+00,0.00000000e+00,4.31529769e-05,1.58623641e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.89347334e+02,1.89097334e+02,3.85395510e-05,1.40762627e-06,0.00000000e+00,0.00000000e+00,4.25779611e-06,5.75466901e-07,0.00000000e+00,0.00000000e+00,2.88218145e-02,8.01787576e-04,2.13492971e+02,8.64411266e+00,0.00000000e+00,0.00000000e+00,4.27973473e-05,1.63647129e-06,0.00000000e+00,0.00000000e+00,1.77791000e+00,8.55522872e-03
1.89447359e+02,1.89197359e+02,3.72829774e-05,1.26932572e-06,0.00000000e+00,0.00000000e+00,3.90326305e-06,5.13232096e-07,0.00000000e+00,0.00000000e+00,2.80900238e-02,7.40509632e-04,2.05330353e+02,7.77919664e+00,0.00000000e+00,0.00000000e+00,4.11862407e-05,1.47589053e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.89547384e+02,1.89297384e+02,3.76479807e-05,1.27769499e-06,0.00000000e+00,0.00000000e+00,3.97404038e-06,4.85061741e-07,0.00000000e+00,0.00000000e+00,2.81723676e-02,7.12130813e-04,2.07306909e+02,7.23469670e+00,0.00000000e+00,0.00000000e+00,4.16220213e-05,1.40528761e-06,0.00000000e+00,0.00000000e+00,1.77581000e+00,8.65387979e-03
1.89647409e+02,1.89397409e+02,3.74827279e-05,1.24945146e-06,0.00000000e+00,0.00000000e+00,3.95991470e-06,4.66718458e-07,0.00000000e+00,0.00000000e+00,2.81800496e-02,7.07206459e-04,2.06005032e+02,6.99965347e+00,0.00000000e+00,0.00000000e+00,4.14426429e-05,1.37696002e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.89747434e+02,1.89497434e+02,3.71667117e-05,1.41514075e-06,0.00000000e+00,0.00000000e+00,3.77240087e-06,4.45290368e-07,0.00000000e+00,0.00000000e+00,2.78939087e-02,7.32552172e-04,2.03041392e+02,7.74231270e+00,0.00000000e+00,0.00000000e+00,4.09391128e-05,1.53674162e-06,0.00000000e+00,0.00000000e+00,1.77245000e+00,8.65342082e-03
1.89847459e+02,1.89597459e+02,3.68762788e-05,1.40969293e-06,0.00000000e+00,0.00000000e+00,3.63026896e-06,3.84328087e-07,0.00000000e+00,0.00000000e+00,2.73011232e-02,7.08360849e-04,2.00625234e+02,7.66261716e+00,0.00000000e+00,0.00000000e+00,4.05065480e-05,1.53976499e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.89947484e+02,1.89697484e+02,3.60640259e-05,1.30023132e-06,0.00000000e+00,0.00000000e+00,4.69996903e-06,7.33847026e-07,0.00000000e+00,0.00000000e+00,2.72381964e-02,7.04494397e-04,2.02064726e+02,7.81225313e+00,0.00000000e+00,0.00000000e+00,4.07639951e-05,1.53785966e-06,0.00000000e+00,0.00000000e+00,1.76873000e+00,8.64023774e-03
1.90047509e+02,1.89797509e+02,3.67235554e-05,1.47409550e-06,0.00000000e+00,0.00000000e+00,4.63061972e-06,9.26570842e-07,0.00000000e+00,0.00000000e+00,2.71037012e-02,7.32821627e-04,2.02231988e+02,8.24113061e+00,0.00000000e+00,0.00000000e+00,4.13541754e-05,1.77539026e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90147534e+02,1.89897534e+02,3.57047097e-05,1.36138785e-06,0.00000000e+00,0.00000000e+00,4.84782157e-06,9.34751842e-07,0.00000000e+00,0.00000000e+00,2.66342507e-02,6.66107321e-04,1.99201641e+02,8.34062026e+00,0.00000000e+00,0.00000000e+00,4.05525315e-05,1.72423178e-06,0.00000000e+00,0.00000000e+00,1.76711000e+00,8.72961863e-03
1.90247559e+02,1.89997559e+02,3.56332007e-05,1.29606586e-06,0.00000000e+00,0.00000000e+00,4.91366498e-06,1.00515025e-06,0.00000000e+00,0.00000000e+00,2.67996790e-02,6.83786558e-04,2.00155355e+02,8.27613718e+00,0.00000000e+00,0.00000000e+00,4.05468659e-05,1.65419211e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90347584e+02,1.90097584e+02,3.54026535e-05,1.23243775e-06,0.00000000e+00,0.00000000e+00,5.00481243e-06,1.00441264e-06,0.00000000e+00,0.00000000e+00,2.69386692e-02,6.50676902e-04,1.99439565e+02,8.14720680e+00,0.00000000e+00,0.00000000e+00,4.04074662e-05,1.64187412e-06,0.00000000e+00,0.00000000e+00,1.76371000e+00,8.87283102e-03
